Hypovolemia,ErrLowOutput,FiO2,MinVolSet,Disconnect,PulmEmbolus,InsuffAnesth,ErrCauter,LVFailure,KinkedTube,Intubation,Anaphylaxis,StrokeVolume,LVEDVolume,PCWP,CVP,History,TPR,VentMach,VentTube,PAP,VentLung,Shunt,VentAlv,Press,MinVol,ArtCO2,PVSat,SaO2,Catechol,HR,HREKG,HRSat,HRBP,CO,BP,ExpCO2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,2,2,2,1,1,0,0,2,2,2,2,0,0,2
0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,1,0,1,0,1,0,2,0,0,0,2,2,2,2,2,2,0
0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,0,0,0,0,0,0,2
0,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1,1,0,3,0,1,0,1,0,3,0,2,0,0,0,2,1,2,2,2,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,2,1,2,2,2,1,1,1,1,1,0,1,1,1,0,2
0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,1,1,2,2,1,2,0,0,3,2,2,0,0,0,2,2,2,2,2,1,3
0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,2,2,2,1,1,0,0,2,2,2,2,0,1,2
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,2,0,0,0,2,2,2,2,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,0,2,2,2,1,1,0,0,2,2,2,2,2,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,3,1,3,2,3,0,2,2,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3
0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,2,2
0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,2,0,1,0,0,2,0,1,0,0,0,2,0,0,0,2,2,2,2,2,2,0
0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,1,1,0,2,0,1,0,1,0,0,0,2,0,0,0,2,2,2,2,2,0,0
0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,3,1,3,1,3,3,3,0,2,2,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,2,2,0,2,2,2,3
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,0,0,2
0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,1,0,1,0,1,0,2,0,0,0,2,2,2,2,2,2,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,0,2,2,2,1,1,0,0,2,2,2,2,2,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,0,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,1,1,2,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,2,2
0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,1,0,1,0,0,0,2,0,0,0,2,2,2,2,2,2,0
0,0,0,1,0,1,1,1,0,0,2,0,1,1,1,1,1,1,2,3,2,3,0,1,3,3,2,0,0,0,2,0,2,2,2,2,3
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,2,2,0,2,1,1,3
0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,1,0,1,0,0,0,2,0,0,0,2,2,2,1,2,0,0
0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,3,2,2,0,2,2,1,1,2,2,0,0,2,1
0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,2,2,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,1,0,0,0,2,2,2,2,0,0,0
0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,1,2,0,1,3,2,2,0,0,0,2,2,2,2,2,2,3
0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,0,2,0,0,0,0,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,0,0,0,0,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,1,0,1,0,0,0,2,0,0,0,2,2,2,2,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,0,0,0,0,0,1,2
0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,2,2,1,2,1,2,2,2,1,1,1,0,2,1,1,2,2,2,2
0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,2,2,2,1,1,0,0,2,2,2,2,2,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,0,2
0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,0,2
0,0,0,1,0,0,1,0,1,1,0,0,2,2,2,2,0,1,2,2,1,1,1,1,3,1,2,0,0,0,2,2,2,2,2,2,3
0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,1,2,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,2,0,2
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,2,0,2,2,2,1,1,0,0,2,2,2,2,2,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2
0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,2,2,1,2,0,2,2,2,1,1,0,0,2,2,2,2,2,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,0,1,1,0,2,2,2,2,2,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,0,1,2
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,1,2,2,2,1,1,1,0,1,1,1,1,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,0,2
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,2,0,0,0,2,1,2,2,0,0,0
0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,2,2,2,0,1,0,3,0,2,0,0,0,1,0,2,1,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,0,1,0,3,0,1,0,0,0,2,2,2,2,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,1,2,0,2,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,1,2,0,2,2,2,1,1,0,0,2,2,2,2,2,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,0,0,2,2,2,2,2,1,3
0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,0,2,2,1,1,2,1,1,1,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,0,2,1,2,2,2,1,1,1,0,2,2,2,2,2,0,2
0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,0,1,2,2,0,2
0,0,0,1,0,0,0,1,1,0,2,0,0,2,2,1,0,2,2,2,1,2,0,1,2,2,2,0,0,0,2,0,2,2,0,0,3
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,1,0,2,0,2,0,0,0,2,2,2,2,2,2,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,1,0,2,2,2,2,0,1,3,2,2,0,0,0,2,2,2,2,2,0,3
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,0,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,2,2,1,1,1,0,2,2,2,2,1,0,2
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
